articleType,generalInfoTitle,generalInfoDate,generalInfoContent
Tax Support,ATO Administrative Relief ,8/4/20,"The Australian Taxation Office (ATO) will provide administrative relief for certain tax obligations (similar to relief provided following the bushfires) for taxpayers affected by the coronavirus outbreak- on a case by case basis. The ATO will set up a temporary shop front in Cairns within the next few weeks with dedicated staff specialising in assisting small business. In addition- the ATO will consider ways to enhance its presence in other significantly affected regions to make it easier for people to apply for relief- including considering further temporary shop fronts and face-to-face options. All taxpayers affected by the coronavirus outbreak can contact the ATO for assistance. You can contact the ATO on 1800 806 218 or visit the ATO website for further information."
Tax Support,Low interest payment plans,8/4/20,If your business has been affected by the coronavirus and you need help to pay your existing and ongoing tax liabilities- you can contact the ATO to discuss entering a low interest payment plan.
Tax Support,Payment deferrals,8/4/20,If you have been affected by the coronavirus- the ATO can work with you to defer some payments and vary instalments you have due.
Tax Support,Monthly GST credits,8/4/20,Businesses on a quarterly reporting cycle may elect to change their GST reporting and payment to monthly- to get quicker access to GST refunds you are entitled to. You can only change from the start of a quarter- so a change now will take effect from 1 April 2020.
Tax Support,Pay as you go instalments,8/4/20,If you're a quarterly pay as you go (PAYG) instalments payer you can vary your PAYG instalments on your activity statement for the March 2020 quarter. You can do this by lodging a revised activity statement before your instalment is due and before you lodge your income tax return for the year. Businesses that vary their PAYG instalment rate or amount can also claim a refund for any instalments made for the September 2019 and December 2019 quarters.
Tax Support,Remitting interest and penalties,8/4/20,Where your business is affected by the coronavirus- the ATO will consider remitting interest and penalties applied to tax liabilities incurred after 23 January 2020.
Tax Support,Employees working from home,8/4/20,"From 1 March to 30 June 2020- the ATO is simplifying home office deduction rules so you can claim up to 80 cents per hour you work from home.
Covid-19 Scams,May 2020 phone scam - requesting bank account details for the JobKeeper payment,15/5/20,The ATO is receiving reports of scammers pretending to be from the ATO calling members of the public and asking them to provide their bank account details. They are telling them that their employer has registered them for the JobKeeper Payment- but that the ATO needs their bank account details to deposit the funds into their account.
Covid-19 Scams,Misinformation and scams,15/5/20,Cybercriminals are using websites- emails and text messages that claim to provide official information about the coronavirus- but are attempts to get your personal or business information.
Covid-19 Scams,"What can you do to protect your business?",15/5/20,Don’t click on any links in emails- text messages or attachments from people or organisations you don’t know.
Covid-19 Scams,Phishing – Government impersonation scams,15/5/20,Scammers are pretending to be government agencies providing information on COVID-19 through text messages and emails ‘phishing’ for your information. These contain malicious links and attachments designed to steal your personal and financial information.
Covid-19 Scams,Phishing – Other impersonation scams,15/5/20,Scammers are pretending to be from real and well known businesses such as banks- travel agents- insurance providers and telco companies.
Covid-19 Scams,Superannuation scams,15/5/20,Scammers are taking advantage of people in financial hardship due to COVID-19 by attempting to steal their superannuation or by offering unnecessary services and charging a fee.
Covid-19 Scams,Online shopping scams,15/5/20,Scammers have created fake online stores claiming to sell products that don’t exist — such as cures or vaccinations for COVID-19- and products such as face masks.
Covid-19 Scams,Scams targeting businesses,15/5/20,Scammers are using COVID-19 in business email compromise scams by pretending to be a supplier or business you usually deal with.
Closing or Pausing,Closing your business,27/5/20,To help you through the process- we recommend you take a look at our How to close your business guide. (https://www.business.gov.au/Closing/Selling-or-closing-your-business/How-to-close-your-business)
Closing or Pausing,Business registrations,27/5/20,If you have temporarily ceased some of your trading activities but intend to restart your business when you can- you’re not required to cancel your ABN and GST registrations. Even if you have paused your business for a lengthy or uncertain period.
Closing or Pausing,Tax and super obligations,27/5/20,If you’re closing your business you will need to continue to meet your tax and super obligations.
Closing or Pausing,Record keeping requirements,27/5/20,If you’re closing your business- you will need to keep business records
Closing or Pausing,Single Touch Payroll (STP),27/5/20,If you’re pausing or closing your business due to COVID-19- you will need to keep your STP records up-to-date. STP reporting includes important information that the ATO may be able to use through these unprecedented times. Having the most up-to-date employment information will help the ATO support the community.
Closing or Pausing,Paused your business and worried about debt?,27/5/20,If you’ve paused your business- you may be concerned about debt and the risk of bankruptcy or insolvency procedures. The Australian Government has made some changes under COVID-19 that may help. New protections are in place from 25 March 2020 until 25 September 2020.
Safe Business Operations,How do I keep my employees safe?,26/5/20,1. allow workers to work from home- where possible 2. ensure physical distancing by keeping a distance of at least 1.5 metres between people 3. encourage all workers to frequently wash their hands for at least 20 seconds with soap and water or by using an alcohol based hand sanitiser and to practise good hygiene 4. be aware of how to spot COVID-19 symptoms (fever- cough- sore throat and shortness of breath) and make sure workers do not come to work if they are unwell 5. make sure your workplace is regularly cleaned and disinfected 6. have signs and posters around the workplace to remind workers and others of the risks of COVID-19 and the measures that are necessary to stop its spread
Safe Business Operations,Protect vulnerable people in your workplace,26/5/20,If you have a vulnerable person working for you- you should support them to work from home where possible. If that isn’t possible- you must do a risk assessment and may need to make other work arrangements for them.
Safe Business Operations,Changes to your workplace,26/5/20,All employers are encouraged to consider alternative ways of delivering their business practices and services- such as switching to online ordering- payment and delivery
Safe Business Operations,Assess the risk,19/5/20,All workplaces must assess the risk (in consultation with workers) and look for ways to minimise the spread of the virus. 